FID,SITE_ID,SURVTYP,YR_INSTAL,UTM_E,UTM_N,ELEV,LAT,LONG_,LAT_2,LONG_2,COMMENTS,GlobalID,OBJECTID
21,N2-15VB,Veg_Bird,2006,430600,5140013,152,46.41013333,-123.9029833,N46ø24.608',W123ø54.179',Poor GPS accuracy,{9A0975C4-C93C-468C-A0B7-5A47F0FAAC6D},118
22,N2-16VB,Veg_Bird,2006,431281,5140476,48,46.41436667,-123.8941833,N46ø24.862',W123ø53.651', ,{864F4CE6-7204-4545-82C9-E61A7AA9988F},119
23,N2-18VB,Veg_Bird,2006,430637,5140168,136,46.41153333,-123.9025167,N46ø24.692',W123ø54.151',Poor GPS accuracy. Location est. f,{C8764569-2F53-4BEA-9D82-B94F45F3F304},121
24,N2-19V,Veg,2006,431215,5140399,73,46.41366667,-123.8950333,N46ø24.820',W123ø53.702', ,{D713CB6C-7A7C-40E6-A1AC-7433B990C83D},122
25,N2-1VB,Veg_Bird,2006,430632,5140256,147,46.41231667,-123.9026,N46ø24.739',W123ø54.156',2D FIX,{0A537AE4-5FF1-4151-85BE-4DB4C09AF182},123
26,N2-23V,Veg,2006,431126,5140109,127,46.41105,-123.89615,N46ø24.663',W123ø53.769', ,{85FE612F-8C99-4658-A22D-224CD573F3E1},127
27,N2-25VB,Veg_Bird,2006,431055,5140156,92,46.41146667,-123.8970833,N46ø24.688',W123ø53.825', ,{55618B32-16D6-4085-99A5-C4646FDA22AE},129
28,N2-26VB,Veg_Bird,2006,430499,5140098,170,46.41088333,-123.9043,N46ø24.653',W123ø54.258',Poor GPS accuracy. Location est. f,{CA04CE04-194F-4EEE-9D97-3A6916C5E64E},130
29,N2-28V,Veg,2007,430852,5139988,112,46.40993333,-123.8997,N46ø24.596',W123ø53.982',2D FIX,{DB8137DA-325B-4531-A529-0A1F325419F8},132
30,N2-4VB,Veg_Bird,2006,430824,5140187,63,46.41171667,-123.9000833,N46ø24.703',W123ø54.005', ,{97B760FA-9EBB-4C96-B843-52D5705328C9},135
31,N2-7VB,Veg_Bird,2006,430926,5140093,92,46.41088333,-123.89875,N46ø24.653',W123ø53.925',Poor GPS accuracy,{417E7E4E-8E6A-41E0-B00F-841BD25A1220},138
32,N2-8V,Veg,2006,431035,5140034,106,46.41036667,-123.8973167,N46ø24.622',W123ø53.839', ,{267AB7F2-A23F-4974-9D62-EDB79F054395},139
33,N2-9VB,Veg_Bird,2006,431240,5140365,79,46.41336667,-123.8947,N46ø24.802',W123ø53.682', ,{76FBB7C8-16E6-475A-BCCB-0F5BBD13C7A3},140
34,S3-12VB,Veg_Bird,2006,430853,5134461,356,46.3602,-123.8988667,N46ø21.612',W123ø53.932', ,{A0BCB453-BF7F-4877-A5B8-3919A6FF9072},199
35,S3-13V,Veg,2006,431011,5134382,352,46.3595,-123.8968,N46ø21.570',W123ø53.808', ,{895411A0-FFE3-49E5-AFE1-A7F72327D5C4},200
36,S3-18VB,Veg_Bird,2006,430983,5134532,333,46.36085,-123.8971833,N46ø21.651',W123ø53.831',2D FIX. Poor GPS accuracy,{7B185B69-943E-4784-80DC-8A34B2AE970F},205
37,S3-19V,Veg,2006,431329,5135051,210,46.36555,-123.8927667,N46ø21.933',W123ø53.566', ,{46792F7D-B2F8-48ED-903C-8C0D4DA89F3E},206
38,S3-20VB,Veg_Bird,2006,430732,5134881,320,46.36396667,-123.9005,N46ø21.838',W123ø54.030', ,{B7EE22BB-4DB4-4DBE-AF5C-2A2DF2EAE2A6},208
39,S3-22VB,Veg_Bird,2006,430778,5134714,262,46.36246667,-123.8998833,N46ø21.748',W123ø53.993',Poor GPS accuracy (~10-15 M EPE),{3C699EAD-0589-4FFA-9458-EAA021242026},210
40,S3-25V,Veg,2006,430306,5134318,403,46.35885,-123.90595,N46ø21.531',W123ø54.357', ,{7EDC16A1-2EF0-4BEA-A53D-4BE1A0D72386},213
41,S3-3VB,Veg_Bird,2006,431091,5134724,312,46.36258333,-123.8958167,N46ø21.755',W123ø53.749', ,{124C09FB-B602-4236-B56F-2863592E3799},218
42,S3-4V,Veg,2007,431093,5134481,368,46.3604,-123.89575,N46ø21.624',W123ø53.745', ,{621BE282-9C1B-44EC-ADEA-C794DC5F4B5B},219
43,S3-5VB,Veg_Bird,2006,431194,5134934,206,46.36448333,-123.8945,N46ø21.869',W123ø53.670', ,{DF9EEF53-747A-4958-878A-C6A3E397E9D4},220
44,S3-8V,Veg,2006,430928,5134373,363,46.35941667,-123.8978833,N46ø21.565',W123ø53.873',2D FIX; Location est. from map; Me,{9A91AEF4-C441-4DF1-A209-9E91732C462A},223
