SITE_ID,BASIN,PLOT,TAG,SPP,AZ,SDIST,HDST,DBH (CM),DBH (INCHES),HT,LCH,LIVING OR DC,HEALTH,CROWN,DAM1,DAM2,DAM3,COND,COND2,LE_ANG,WILDLIFE USE,REMARKS,,,,,
C1-5V,C1,5,901,TSHE,309,19.6,17.5,N/A,N/A,N/A,N/A,D,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,HARVESTED STUMP,,,,,
C1-5V,C1,5,902,TSHE,313,6.5,5.9,N/A,N/A,N/A,N/A,D,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,HARVESTED STUMP,,,,,
C1-5V,C1,5,903,TSHE,314,17.7,15.9,39.1,15.4,,,L,Y,3,None,,,None,,,,,,,,,
C1-5V,C1,5,904,TSHE,318,11.0,9.8,N/A,N/A,N/A,N/A,D,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CWD,,,,,
C1-5V,C1,5,905,TSHE,327,16.1,14.4,N/A,N/A,N/A,N/A,D,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NOT FOUND,,,,,
C1-5V,C1,5,906,TSHE,332,8.8,7.8,N/A,N/A,N/A,N/A,D,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,HARVESTED STUMP,,,,,
C1-5V,C1,5,907,TSHE,333,8.8,7.7,N/A,N/A,N/A,N/A,D,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,HARVESTED STUMP,,,,,
C1-5V,C1,5,909,TSHE,336,12.8,11.5,N/A,N/A,N/A,N/A,D,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,HARVESTED STUMP,,,,,
C1-5V,C1,5,910,TSHE,336,19.5,17.6,N/A,N/A,N/A,N/A,D,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CWD,,,,,
C1-5V,C1,5,911,TSHE,337,15.8,14.3,N/A,N/A,N/A,N/A,D,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CWD,,,,,
C1-5V,C1,5,912,TSHE,344,12.6,11.5,N/A,N/A,N/A,N/A,D,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,HARVESTED STUMP,,,,,
C1-5V,C1,5,913,TSHE,350,10.4,9.4,46.7,18.4,30.7,19.3,L,Y,3,460,,,None,FK2,,,TGT W/ SNAG 914,,,,,
C1-5V,C1,5,915,TSHE,351,19.0,17.5,N/A,N/A,N/A,N/A,D,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,HARVESTED STUMP,,,,,
C1-5V,C1,5,916,TSHE,359,18.4,17.1,43.2,17.0,,,L,Y,3,None,,,None,,,,,,,,,
C1-7VB,C1,7,264,TSHE,360,13.4,12.6,N/A,N/A,N/A,N/A,D,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,HARVESTED STUMP,,,,,
C1-7VB,C1,7,265,TSHE,5,7.3,6.7,N/A,N/A,N/A,N/A,D,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,HARVESTED STUMP,,,,,
C1-7VB,C1,7,267,TSHE,19,17.1,15.9,37.8,14.9,27.7,17.4,L,Y,3,None,,,None,,,,TGT W/266,,,,,
C1-7VB,C1,7,268,TSHE,24,9.8,9.1,52.6,20.7,,,L,Y,3,None,,,None,,,,,,,,,
C1-7VB,C1,7,270,TSHE,28,17.5,16.7,44.7,17.6,,,L,Y,3,None,,,None,,,,,,,,,
C1-7VB,C1,7,271,TSHE,35,13.6,12.5,46.5,18.3,,,L,Y,3,None,,,None,,,,,,,,,
